routine_id,routine_name,day_order,day_name,superset_id,n_miembros,posicion_actual,posicion_esperada,correcta,posiciones_miembros,posiciones_sueltos
1016,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-AVANZADO-2 DIAS,1,Pierna-Pecho-Tríceps,1059,2,3,3,SI,3 4,1 2 4 5 6
1016,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-AVANZADO-2 DIAS,2,Pierna-Espalda-Bíceps,1060,2,3,3,SI,3 4,1 2 4 5 6
1015,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-AVANZADO-3 DIAS,1,Glúteo día 1,1056,2,5,5,SI,5 6,1 2 3 4
1015,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-AVANZADO-3 DIAS,2,Torso Completo,1057,2,5,5,SI,5 6,1 2 3 4
1015,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-AVANZADO-3 DIAS,3,Glúteo día 2,1058,2,5,5,SI,5 6,1 2 3 4
1014,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-AVANZADO-4 DIAS,1,Pierna-Pecho-Tríceps,1052,2,3,3,SI,3 4,1 2 4 5 6
1014,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-AVANZADO-4 DIAS,2,Pierna-Espalda-Bíceps,1053,2,0,3,NO,3 4,1 2 5 6 7
1014,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-AVANZADO-4 DIAS,3,Pierna Completa,1054,2,5,5,SI,5 6,1 2 3 4
1014,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-AVANZADO-4 DIAS,4,Torso Completo,1055,2,5,5,SI,5 6,1 2 3 4
1013,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-AVANZADO-5 DIAS,1,Glúteo día 1,1047,2,5,5,SI,5 6,1 2 3 4
1013,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-AVANZADO-5 DIAS,2,Pecho-Hombro-Tríceps,1048,2,5,5,SI,5 6,1 2 3 4
1013,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-AVANZADO-5 DIAS,3,Glúteo día 2,1049,2,5,5,SI,5 6,1 2 3 4
1013,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-AVANZADO-5 DIAS,4,Espalda-Bíceps-Posterior,1050,2,5,5,SI,5 6,1 2 3 4
1013,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-AVANZADO-5 DIAS,5,Glúteo día 3,1051,2,5,5,SI,5 6,1 2 3 4
1257,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-PRINCIPIANTE-2 DIAS,1,Pierna-Pecho-Tríceps,1848,2,0,3,NO,3 4,1 2 5 6 7
1257,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-PRINCIPIANTE-2 DIAS,2,Pierna-Espalda-Bíceps,1849,2,0,3,NO,3 4,1 2 5 6 7
1256,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-PRINCIPIANTE-3 DIAS,1,Glúteo día 1,1845,2,0,5,NO,5 6,1 2 3 4
1256,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-PRINCIPIANTE-3 DIAS,2,Torso Completo,1846,2,0,5,NO,5 6,1 2 3 4
1256,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-PRINCIPIANTE-3 DIAS,3,Glúteo día 2,1847,2,0,5,NO,5 6,1 2 3 4
1255,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-PRINCIPIANTE-4 DIAS,1,Pierna-Pecho-Tríceps,1841,2,0,3,NO,3 4,1 2 5 6 7
1255,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-PRINCIPIANTE-4 DIAS,2,Pierna-Espalda-Bíceps,1842,2,0,3,NO,3 4,1 2 5 6 7
1255,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-PRINCIPIANTE-4 DIAS,3,Pierna Completa,1843,2,0,5,NO,5 6,1 2 3 4
1255,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-PRINCIPIANTE-4 DIAS,4,Torso Completo,1844,2,0,5,NO,5 6,1 2 3 4
1254,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-PRINCIPIANTE-5 DIAS,1,Glúteo día 1,1836,2,0,5,NO,5 6,1 2 3 4
1254,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-PRINCIPIANTE-5 DIAS,2,Pecho-Hombro-Tríceps,1837,2,0,5,NO,5 6,1 2 3 4
1254,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-PRINCIPIANTE-5 DIAS,3,Glúteo día 2,1838,2,0,5,NO,5 6,1 2 3 4
1254,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-PRINCIPIANTE-5 DIAS,4,Espalda-Bíceps-Posterior,1839,2,0,5,NO,5 6,1 2 3 4
1254,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-PRINCIPIANTE-5 DIAS,5,Glúteo día 3,1840,2,0,5,NO,5 6,1 2 3 4
1235,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 6-AVANZADO-2 DIAS,1,Empujes (Pierna + Tronco),1769,2,0,3,NO,3 4,1 2 5 6 7
1235,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 6-AVANZADO-2 DIAS,2,Tracciones (Pierna + Tronco),1770,2,0,3,NO,3 4,1 2 5 6 7
1234,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 6-AVANZADO-3 DIAS,1,Glúteo Día 1,1766,2,0,5,NO,5 6,1 2 3 4
1234,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 6-AVANZADO-3 DIAS,2,Empujes y Tracciones Arriba,1767,2,0,5,NO,5 6,1 2 3 4
1234,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 6-AVANZADO-3 DIAS,3,Glúteo Día 2,1768,2,0,5,NO,5 6,1 2 3 4
1233,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 6-AVANZADO-4 DIAS,1,Pierna-Pecho-Tríceps,1762,2,0,3,NO,3 4,1 2 5 6 7
1233,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 6-AVANZADO-4 DIAS,2,Pierna-Espalda-Bíceps,1763,2,0,3,NO,3 4,1 2 5 6 7
1233,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 6-AVANZADO-4 DIAS,3,Glúteo ,1764,2,0,5,NO,5 6,1 2 3 4
1233,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 6-AVANZADO-4 DIAS,4,Fullbody Parte Arriba,1765,2,0,5,NO,5 6,1 2 3 4
1232,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 6-AVANZADO-5 DIAS,1,Glúteo Día 1,1757,2,0,5,NO,5 6,1 2 3 4
1232,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 6-AVANZADO-5 DIAS,2,Hombro-Pecho-Tríceps,1758,2,0,5,NO,5 6,1 2 3 4
1232,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 6-AVANZADO-5 DIAS,3,Glúteo Día 2,1759,2,0,5,NO,5 6,1 2 3 4
1232,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 6-AVANZADO-5 DIAS,4,Espalda y Bíceps,1760,2,0,5,NO,5 6,1 2 3 4
1232,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 6-AVANZADO-5 DIAS,5,Glúteo Día 3,1761,2,0,5,NO,5 6,1 2 3 4
1270,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 6-PRINCIPIANTE-2 DIAS,1,Pierna-Pecho-Tríceps,1884,2,0,3,NO,3 4,1 2 5 6 7
