id,sub_objetivo,genero,lugar,nivel,dias,fase_mes,es_prueba,nombre
976,Definición extrema,Chicos,Gimnasio,Principiante,2,1,,CHICOS-GYM-MES 1-PRINCIPIANTE-2 DÍAS
1004,Definición extrema,Chicos,Gimnasio,Principiante,2,1,,CHICOS-GYM-MES 1-PRINCIPIANTE-2 DÍAS
980,Definición extrema,Chicos,Gimnasio,Principiante,2,2,,CHICOS-GYM-MES 2-PRINCIPIANTE-2 DÍAS
984,Definición extrema,Chicos,Gimnasio,Principiante,2,3,,CHICOS-GYM-MES 3-PRINCIPIANTE-2 DÍAS
988,Definición extrema,Chicos,Gimnasio,Principiante,2,4,,CHICOS-GYM-MES 4-PRINCIPIANTE-2 DÍAS
992,Definición extrema,Chicos,Gimnasio,Principiante,2,5,,CHICOS-GYM-MES 5-PRINCIPIANTE-2 DÍAS
1000,Definición extrema,Chicos,Gimnasio,Principiante,2,6,,CHICOS-GYM-MES 6-PRINCIPIANTE-2 DÍAS
996,Definición extrema,Chicos,Gimnasio,Principiante,2,6,,CHICOS-GYM-MES 6-PRINCIPIANTE-2 DÍAS
1003,Definición extrema,Chicos,Gimnasio,Principiante,3,1,,CHICOS-GYM-MES 1-PRINCIPIANTE-3 DÍAS
975,Definición extrema,Chicos,Gimnasio,Principiante,3,1,,CHICOS-GYM-MES 1-PRINCIPIANTE-3 DÍAS
979,Definición extrema,Chicos,Gimnasio,Principiante,3,2,,CHICOS-GYM-MES 2-PRINCIPIANTE-3 DÍAS
983,Definición extrema,Chicos,Gimnasio,Principiante,3,3,,CHICOS-GYM-MES 3-PRINCIPIANTE-3 DÍAS
987,Definición extrema,Chicos,Gimnasio,Principiante,3,4,,CHICOS-GYM-MES 4-PRINCIPIANTE-3 DÍAS
991,Definición extrema,Chicos,Gimnasio,Principiante,3,5,,CHICOS-GYM-MES 5-PRINCIPIANTE-3 DÍAS
