id,sub,name,gender,place,level,days,exercises,supersets
1512,Def Extrema,DEF.EXTREMA-CHICAS-GYM-MES 1-AVANZADO-2 DÍAS,female,gym,advanced,2,14,3
1511,Def Extrema,DEF.EXTREMA-CHICAS-GYM-MES 1-AVANZADO-3 DÍAS,female,gym,advanced,3,18,3
1510,Def Extrema,DEF.EXTREMA-CHICAS-GYM-MES 1-AVANZADO-4 DÍAS,female,gym,advanced,4,24,4
1509,Def Extrema,DEF.EXTREMA-CHICAS-GYM-MES 1-AVANZADO-5 DÍAS,female,gym,advanced,5,30,5
1516,Def Extrema,DEF.EXTREMA-CHICAS-GYM-MES 1-PRINCIPIANTE-2 DÍAS,female,gym,beginner,2,10,0
1515,Def Extrema,DEF.EXTREMA-CHICAS-GYM-MES 1-PRINCIPIANTE-3 DÍAS,female,gym,beginner,3,15,0
1514,Def Extrema,DEF.EXTREMA-CHICAS-GYM-MES 1-PRINCIPIANTE-4 DÍAS,female,gym,beginner,4,20,0
1513,Def Extrema,DEF.EXTREMA-CHICAS-GYM-MES 1-PRINCIPIANTE-5 DÍAS,female,gym,beginner,5,25,0
1544,Def Extrema,DEF.EXTREMA-CHICAS-MANCUERNAS Y GOMAS-MES 1-AVANZADO-2 DÍAS,female,home_with_material,advanced,2,14,3
1543,Def Extrema,DEF.EXTREMA-CHICAS-MANCUERNAS Y GOMAS-MES 1-AVANZADO-3 DÍAS,female,home_with_material,advanced,3,18,3
1542,Def Extrema,DEF.EXTREMA-CHICAS-MANCUERNAS Y GOMAS-MES 1-AVANZADO-4 DÍAS,female,home_with_material,advanced,4,24,4
1541,Def Extrema,DEF.EXTREMA-CHICAS-MANCUERNAS Y GOMAS-MES 1-AVANZADO-5 DÍAS,female,home_with_material,advanced,5,30,5
1548,Def Extrema,DEF.EXTREMA-CHICAS-MANCUERNAS Y GOMAS-MES 1-PRINCIPIANTE-2 DÍAS,female,home_with_material,beginner,2,10,0
1547,Def Extrema,DEF.EXTREMA-CHICAS-MANCUERNAS Y GOMAS-MES 1-PRINCIPIANTE-3 DÍAS,female,home_with_material,beginner,3,15,0
1546,Def Extrema,DEF.EXTREMA-CHICAS-MANCUERNAS Y GOMAS-MES 1-PRINCIPIANTE-4 DÍAS,female,home_with_material,beginner,4,20,0
1545,Def Extrema,DEF.EXTREMA-CHICAS-MANCUERNAS Y GOMAS-MES 1-PRINCIPIANTE-5 DÍAS,female,home_with_material,beginner,5,25,0
1528,Def Extrema,DEF.EXTREMA-CHICAS-SOLO GOMAS-MES 1-AVANZADO-2 DÍAS,female,home,advanced,2,14,3
1527,Def Extrema,DEF.EXTREMA-CHICAS-SOLO GOMAS-MES 1-AVANZADO-3 DÍAS,female,home,advanced,3,18,3
1526,Def Extrema,DEF.EXTREMA-CHICAS-SOLO GOMAS-MES 1-AVANZADO-4 DÍAS,female,home,advanced,4,24,4
1525,Def Extrema,DEF.EXTREMA-CHICAS-SOLO GOMAS-MES 1-AVANZADO-5 DÍAS,female,home,advanced,5,30,5
1532,Def Extrema,DEF.EXTREMA-CHICAS-SOLO GOMAS-MES 1-PRINCIPIANTE-2 DÍAS,female,home,beginner,2,10,0
1531,Def Extrema,DEF.EXTREMA-CHICAS-SOLO GOMAS-MES 1-PRINCIPIANTE-3 DÍAS,female,home,beginner,3,15,0
