install_date,installs,d1_pct,d7_pct,d30_pct
2026-04-30,3,0.0,0.0,0.0
2026-04-29,6,0.0,0.0,0.0
2026-04-28,3,0.0,0.0,0.0
2026-04-27,7,14.3,0.0,0.0
2026-04-26,3,0.0,0.0,0.0
2026-04-25,5,20.0,0.0,0.0
2026-04-24,7,14.3,0.0,0.0
2026-04-23,4,25.0,25.0,0.0
2026-04-22,5,20.0,20.0,0.0
2026-04-21,5,0.0,0.0,0.0
2026-04-20,12,0.0,0.0,0.0
2026-04-19,9,22.2,0.0,0.0
2026-04-18,14,28.6,21.4,0.0
2026-04-17,15,33.3,26.7,0.0
2026-04-16,62,27.4,24.2,0.0
2026-04-15,78,25.6,23.1,0.0
2026-04-14,97,29.9,32.0,0.0
2026-04-13,58,31.0,22.4,0.0
2026-04-12,48,35.4,37.5,0.0
2026-04-11,42,26.2,23.8,0.0
2026-04-10,61,19.7,24.6,0.0
2026-04-09,100,21.0,27.0,0.0
2026-04-08,187,27.3,25.7,0.0
2026-04-07,568,30.8,26.9,0.0
2026-04-06,506,36.0,32.0,0.0
2026-04-05,4,50.0,25.0,0.0
2026-04-04,4,0.0,0.0,0.0
2026-04-03,12,16.7,8.3,0.0
2026-04-02,12,16.7,8.3,0.0
2026-04-01,7,28.6,0.0,0.0
2026-03-31,5,20.0,0.0,0.0
2026-03-30,4,25.0,0.0,0.0
2026-03-29,3,0.0,0.0,0.0
2026-03-28,7,14.3,14.3,14.3
2026-03-27,2,50.0,0.0,0.0
2026-03-22,1,0.0,0.0,0.0
2026-03-19,1,0.0,0.0,0.0
2026-03-18,1,0.0,0.0,0.0
2026-03-17,2,0.0,0.0,0.0
2026-03-16,1,0.0,0.0,0.0
2026-03-15,2,50.0,50.0,0.0
2026-03-14,1,0.0,0.0,0.0
2026-03-13,8,12.5,0.0,0.0
2026-03-12,3,33.3,0.0,0.0
2026-03-11,4,50.0,0.0,0.0
2026-03-10,1,0.0,0.0,0.0
2026-03-06,3,33.3,0.0,0.0
2026-03-05,1,0.0,0.0,0.0
