event_name,usuarios,pct_del_segmento
screen_view,109,71.2
app_open,108,70.6
pedometer_sync_success,96,62.7
notification_receive,50,32.7
user_engagement,44,28.8
tab_select,25,16.3
app_exception,21,13.7
app_update,20,13.1
notification_dismiss,10,6.5
notification_open,9,5.9
login_success,8,5.2
ranking_filter_change,4,2.6
signup_method_selected,3,2.0
profile_updated,3,2.0
training_tab_select,3,2.0
program_view,3,2.0
base_expiry_warning_shown,3,2.0
training_session_start,2,1.3
continuation_program_view,2,1.3
pedometer_permission_denied,2,1.3
apple_sign_in_start,1,0.7
activity_created,1,0.7
purchase_cancelled,1,0.7
program_video_viewed,1,0.7
purchase_started,1,0.7
program_start_intent_clicked,1,0.7
exercise_start,1,0.7
program_video_continue_clicked,1,0.7
training_session_rate,1,0.7
training_session_complete,1,0.7
exercise_set_log,1,0.7
paywall_viewed,1,0.7
session_expired,1,0.7
program_enroll_intent_clicked,1,0.7
