event_name,total_eventos,usuarios_unicos,primera_vez,ultima_vez
screen_view,24071144,1928,2026-04-01,2026-04-30
user_engagement,14713461,1894,2026-04-01,2026-04-30
app_open,8520878,1888,2026-04-01,2026-04-30
pedometer_sync_success,7248462,714,2026-04-01,2026-04-30
tab_select,5937584,1494,2026-04-01,2026-04-30
session_start,2840440,1951,2026-04-01,2026-04-30
first_open,1242764,1944,2026-04-01,2026-04-30
login_success,1236629,1871,2026-04-01,2026-04-30
onboarding_start,1213980,1847,2026-04-01,2026-04-30
app_exception,1189224,536,2026-04-01,2026-04-30
onboarding_complete,1123275,1724,2026-04-01,2026-04-29
training_onboarding_continue_clicked,752148,1166,2026-04-01,2026-04-29
exercise_start,685823,139,2026-04-01,2026-04-29
firebase_campaign,491523,778,2026-04-01,2026-04-29
ranking_filter_change,485862,91,2026-04-01,2026-04-30
training_session_start,463248,193,2026-04-01,2026-04-30
pedometer_enabled,437150,679,2026-04-01,2026-04-29
signup_method_selected,427030,551,2026-04-01,2026-04-30
ranking_enrolled,426937,645,2026-04-01,2026-04-28
pedometer_permission_granted,414694,646,2026-04-01,2026-04-29
program_start_intent_clicked,408333,494,2026-04-01,2026-04-29
profile_updated,341886,191,2026-04-01,2026-04-27
program_enroll_intent_clicked,341189,440,2026-04-01,2026-04-29
guest_upgrade,289577,439,2026-04-01,2026-04-29
exercise_video_play,244763,76,2026-04-02,2026-04-29
notification_receive,244175,236,2026-04-01,2026-04-30
signup_completed,187029,285,2026-04-01,2026-04-29
training_tab_select,182332,123,2026-04-01,2026-04-29
pedometer_permission_denied,178078,143,2026-04-03,2026-04-27
training_location_select,134213,147,2026-04-01,2026-04-29
program_view,133063,64,2026-04-01,2026-04-30
app_remove,124483,338,2026-04-01,2026-04-29
app_update,121033,447,2026-04-01,2026-04-30
exercise_set_log,119654,40,2026-04-02,2026-04-29
recipe_mode_select,106907,9,2026-04-03,2026-04-27
apple_sign_in_start,95108,140,2026-04-01,2026-04-30
login_failure,94119,48,2026-04-01,2026-04-29
apple_sign_in_success,93998,137,2026-04-01,2026-04-30
login_attempt,93835,105,2026-04-01,2026-04-29
paywall_viewed,91522,104,2026-04-01,2026-04-29
explore_section_tap,85858,19,2026-04-01,2026-04-29
program_enroll,74215,137,2026-04-01,2026-04-29
video_banner_shown,72818,432,2026-04-15,2026-04-30
rounds_session_completed,66128,3,2026-04-03,2026-04-17
continuation_program_view,64904,92,2026-04-03,2026-04-30
recipe_view,62415,12,2026-04-03,2026-04-29
program_video_viewed,55330,39,2026-04-01,2026-04-27
training_session_complete,51009,39,2026-04-02,2026-04-29
notification_dismiss,45652,48,2026-04-01,2026-04-30
session_expired,44899,75,2026-04-01,2026-04-30
notification_open,44487,99,2026-04-01,2026-04-30
purchase_started,37637,36,2026-04-01,2026-04-27
training_session_rate,35686,32,2026-04-02,2026-04-29
program_video_continue_clicked,33148,33,2026-04-03,2026-04-26
sign_up_success,29257,49,2026-04-01,2026-04-20
recipe_filter_apply,28500,7,2026-04-06,2026-04-27
guide_category_view,26298,11,2026-04-01,2026-04-29
os_update,24788,102,2026-04-07,2026-04-30
subscription_renewed,20242,3,2026-04-03,2026-04-17
restore_attempted,17810,22,2026-04-01,2026-04-27
activity_created,16760,23,2026-04-03,2026-04-26
base_expiry_warning_shown,14558,37,2026-04-06,2026-04-28
calculator_complete,14345,10,2026-04-03,2026-04-27
profile_photo_changed,13939,19,2026-04-03,2026-04-17
restore_failed,13857,19,2026-04-06,2026-04-27
calculator_start,13345,10,2026-04-03,2026-04-27
catalog_filter_apply,13258,13,2026-04-07,2026-04-29
purchase_completed,12513,19,2026-04-01,2026-04-27
exercise_history_view,12364,18,2026-04-02,2026-04-27
rounds_session_started,12088,3,2026-04-03,2026-04-17
purchase_failed,10823,10,2026-04-01,2026-04-17
program_history_view,8618,11,2026-04-01,2026-04-22
guide_video_play,6918,5,2026-04-01,2026-04-29
subscription_restored,6912,2,2026-04-08,2026-04-22
video_banner_dismissed,6114,269,2026-04-15,2026-04-30
program_unenroll,6091,8,2026-04-06,2026-04-20
notification_tap,5989,11,2026-04-08,2026-04-26
purchase_cancelled,5799,7,2026-04-03,2026-04-22
subscription_expired,5068,5,2026-04-03,2026-04-25
ranking_tutorial_completed,4876,22,2026-04-09,2026-04-29
subscription_cancelled,4840,5,2026-04-03,2026-04-22
in_app_purchase,4806,7,2026-04-03,2026-04-22
restore_completed,3953,5,2026-04-01,2026-04-27
trial_started,3359,6,2026-04-03,2026-04-22
subscription_started,2344,2,2026-04-03,2026-04-17
recipe_favorite,1528,1,2026-04-09,2026-04-09
trial_banner_tapped,1434,8,2026-04-13,2026-04-21
notification_foreground,1347,3,2026-04-02,2026-04-19
recipe_unfavorite,764,1,2026-04-09,2026-04-09
base_expiry_locked_view,742,24,2026-04-20,2026-04-30
satiating_food_detail_view,604,2,2026-04-15,2026-04-29
video_cta_shown,420,15,2026-04-15,2026-04-27
video_opened,420,15,2026-04-15,2026-04-27
video_cta_tapped,254,5,2026-04-15,2026-04-27
satiating_food_list_view,226,4,2026-04-15,2026-04-29
video_cta_dismissed,126,8,2026-04-19,2026-04-27
video_closed_early,98,7,2026-04-19,2026-04-26
video_completed,74,5,2026-04-20,2026-04-27
round_log_history_view,28,1,2026-04-17,2026-04-17
satiating_food_filter_apply,26,2,2026-04-22,2026-04-29
