install_date,installs,trained_d0_d3_pct,trained_d0_d7_pct,trained_d0_d14_pct
2026-04-30,3,0.0,0.0,0.0
2026-04-29,6,16.7,16.7,16.7
2026-04-28,3,0.0,0.0,0.0
2026-04-27,7,0.0,0.0,0.0
2026-04-26,3,0.0,0.0,0.0
2026-04-25,5,0.0,0.0,0.0
2026-04-24,7,0.0,0.0,0.0
2026-04-23,4,0.0,0.0,0.0
2026-04-22,5,0.0,0.0,0.0
2026-04-21,5,0.0,0.0,0.0
2026-04-20,12,0.0,0.0,0.0
2026-04-19,9,0.0,0.0,0.0
2026-04-18,14,0.0,0.0,0.0
2026-04-17,15,0.0,0.0,0.0
2026-04-16,62,1.6,3.2,3.2
2026-04-15,78,2.6,2.6,3.8
2026-04-14,97,0.0,1.0,1.0
2026-04-13,58,0.0,0.0,0.0
2026-04-12,48,2.1,2.1,2.1
2026-04-11,42,2.4,2.4,2.4
2026-04-10,61,3.3,3.3,4.9
2026-04-09,100,2.0,2.0,2.0
2026-04-08,187,1.6,1.6,1.6
2026-04-07,568,1.1,1.1,1.4
2026-04-06,506,1.4,1.6,1.8
2026-04-05,4,0.0,0.0,0.0
2026-04-04,4,0.0,0.0,0.0
2026-04-03,12,16.7,16.7,16.7
2026-04-02,12,16.7,16.7,16.7
2026-04-01,7,0.0,0.0,0.0
2026-03-31,5,0.0,0.0,0.0
2026-03-30,4,0.0,0.0,0.0
2026-03-29,3,0.0,0.0,0.0
2026-03-28,7,14.3,28.6,28.6
2026-03-27,2,0.0,0.0,0.0
2026-03-22,1,0.0,0.0,0.0
2026-03-19,1,0.0,0.0,0.0
2026-03-18,1,0.0,0.0,0.0
2026-03-17,2,0.0,0.0,0.0
2026-03-16,1,0.0,0.0,0.0
2026-03-15,2,50.0,50.0,50.0
2026-03-14,1,0.0,0.0,0.0
2026-03-13,8,0.0,0.0,0.0
2026-03-12,3,0.0,0.0,0.0
2026-03-11,4,0.0,0.0,0.0
2026-03-10,1,0.0,0.0,0.0
2026-03-06,3,33.3,33.3,33.3
2026-03-05,1,0.0,0.0,0.0
