id,name,zone,gender,objective_id,sub_objective_id,training_location,days_per_week,experience_level,created_at,updated_at
973,CHICOS-GYM-MES 1-PRINCIPIANTE-5 DÍAS,consultancy,male,1,2,gym,5,beginner,2026-05-22T10:45:27.527025Z,2026-05-29T12:21:07.503847Z
974,CHICOS-GYM-MES 1-PRINCIPIANTE-4 DÍAS,consultancy,male,1,2,gym,4,beginner,2026-05-22T10:45:28.091415Z,2026-05-29T12:21:07.766242Z
975,CHICOS-GYM-MES 1-PRINCIPIANTE-3 DÍAS,consultancy,male,1,2,gym,3,beginner,2026-05-22T10:45:28.510884Z,2026-05-29T12:21:08.010585Z
976,CHICOS-GYM-MES 1-PRINCIPIANTE-2 DÍAS,consultancy,male,1,2,gym,2,beginner,2026-05-22T10:45:28.938655Z,2026-05-29T12:21:08.286850Z
977,CHICOS-GYM-MES 2-PRINCIPIANTE-5 DÍAS,consultancy,male,1,2,gym,5,beginner,2026-05-22T11:06:04.165332Z,2026-05-29T12:21:08.649100Z
978,CHICOS-GYM-MES 2-PRINCIPIANTE-4 DÍAS,consultancy,male,1,2,gym,4,beginner,2026-05-22T11:06:04.750615Z,2026-05-29T12:21:08.896321Z
979,CHICOS-GYM-MES 2-PRINCIPIANTE-3 DÍAS,consultancy,male,1,2,gym,3,beginner,2026-05-22T11:06:05.276308Z,2026-05-29T12:21:09.183210Z
980,CHICOS-GYM-MES 2-PRINCIPIANTE-2 DÍAS,consultancy,male,1,2,gym,2,beginner,2026-05-22T11:06:05.792363Z,2026-05-29T12:21:09.414285Z
981,CHICOS-GYM-MES 3-PRINCIPIANTE-5 DÍAS,consultancy,male,1,2,gym,5,beginner,2026-05-22T11:06:06.339593Z,2026-05-29T12:21:09.711047Z
982,CHICOS-GYM-MES 3-PRINCIPIANTE-4 DÍAS,consultancy,male,1,2,gym,4,beginner,2026-05-22T11:06:06.996311Z,2026-05-29T12:21:09.938184Z
983,CHICOS-GYM-MES 3-PRINCIPIANTE-3 DÍAS,consultancy,male,1,2,gym,3,beginner,2026-05-22T11:06:07.487637Z,2026-05-29T12:21:10.231719Z
984,CHICOS-GYM-MES 3-PRINCIPIANTE-2 DÍAS,consultancy,male,1,2,gym,2,beginner,2026-05-22T11:06:07.923074Z,2026-05-29T12:21:10.482169Z
985,CHICOS-GYM-MES 4-PRINCIPIANTE-5 DÍAS,consultancy,male,1,2,gym,5,beginner,2026-05-22T11:06:08.430032Z,2026-05-29T12:21:10.808306Z
986,CHICOS-GYM-MES 4-PRINCIPIANTE-4 DÍAS,consultancy,male,1,2,gym,4,beginner,2026-05-22T11:06:08.996593Z,2026-05-29T12:21:11.070324Z
987,CHICOS-GYM-MES 4-PRINCIPIANTE-3 DÍAS,consultancy,male,1,2,gym,3,beginner,2026-05-22T11:06:09.583897Z,2026-05-29T12:21:11.365029Z
988,CHICOS-GYM-MES 4-PRINCIPIANTE-2 DÍAS,consultancy,male,1,2,gym,2,beginner,2026-05-22T11:06:10.060176Z,2026-05-29T12:21:11.628754Z
